Title,Stars,Ratings Count,Reviews Count,Specifications,Original Price,Discounted Price,Discount Percent,Image URL
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,4.5,9160,792,"Intel Core i5 Processor (13th Gen)
16 GB LPDDR4X RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories",82789,56990,31% off,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/l/v/-original-imahcd9jggredwvf.jpeg?q=70
HP HP OmniBook 7 Aero (Previously Pavilion Aero) AMD Ryzen AI 5 Hexa Core AI 5 340 - (16 GB/512 GB SSD...,5,4,1,"AMD Ryzen AI 5 Hexa Core Processor
16 GB LPDDR5X RAM
Windows 11 Operating System
512 GB SSD
33.78 cm (13.3 Inch) Display
1 Year Onsite Service",96137,79990,16% off,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/x/x/-original-imahd6xuhqfj3gey.jpeg?q=70
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,3.7,824,90,"Intel Celeron Dual Core Processor
8 GB DDR4 RAM
64 bit Windows 11 Home Operating System
256 GB SSD
29.46 cm (11.6 inch) Display
1 Year Warranty",33399,17990,46% off,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/z/p/-original-imahdhc7tygd5ntz.jpeg?q=70
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60343WS ...,4.1,541,68,"Intel Core i3 Processor (13th Gen)
8 GB DDR5 RAM
Windows 11 Home Operating System
512 GB SSD
35.56 cm (14 inch) Display
Microsoft Office Home 2024, Microsoft 365 Basic
1 Year Onsite Warranty",69990,39990,42% off,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/u/h/-original-imahcd9jnmhd2frn.jpeg?q=70
Ultimus Pro Intel Celeron Dual Core N4020 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U4INC43BN-S...,3.5,93,10,"Intel Celeron Dual Core Processor
4 GB DDR4 RAM
Windows 11 Operating System
35.81 cm (14.1 inch) Display
1 Year Onsite Warranty",24990,12490,50% off,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/j/a/-original-imah9b8ydxfv7pje.jpeg?q=70
Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,4.5,4781,519,"Intel Core i3 Processor (13th Gen)
8 GB LPDDR4X RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",57499,40990,28% off,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/y/6/-original-imahcd9h9ethbxaz.jpeg?q=70
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,3.9,357,35,"MediaTek Kompanio 520 Processor
4 GB LPDDR4X RAM
Chrome Operating System
29.46 cm (11.6 Inch) Display
1 Year Carry-in Warranty",16298,9499,41% off,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/f/c/-original-imahd3zwben2yanx.jpeg?q=70
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light...,3.9,2623,211,"Intel Celeron Dual Core Processor
8 GB LPDDR4X RAM
Windows 11 Operating System
512 GB SSD
35.56 cm (14 Inch) Display
1 Year Carry-in Warranty",32999,22990,30% off,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/8/z/d/-original-imahcd9nrwe6hpet.jpeg?q=70
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,3.9,1523,165,"Intel Celeron Dual Core Processor
8 GB DDR4 RAM
64 bit Windows 11 Home Operating System
128 GB SSD
29.46 cm (11.6 inch) Display
1 Year Warranty",32990,15990,51% off,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/z/p/-original-imahdhc7tygd5ntz.jpeg?q=70
Lenovo IdeaPad Slim 5 13th Gen Intel Core i5-13420H WUXGA IPS Intel Core i5 13th Gen - (16 GB/512 GB S...,4.1,116,6,"Intel Core i5 Processor (13th Gen)
16 GB LPDDR5 RAM
Windows 11 Operating System
512 GB SSD
35.56 cm (14 inch) Display
1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection",73990,53990,27% off,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/q/f/-original-imahcd9ctzw4y6me.jpeg?q=70
